date,id,news_heading_eng,news_heading_swa,news_type
2022-04-28,tl55,the rest of the day missed the plate at the moi event,siku iliyosalia ilikosa sahani katika hafla ya moi,Local News
2021-02-22,tl1596,the chief denies two politicians the opportunity to use the microphone to address the funeral,chifu awanyima wanasiasa wawili fursa ya kutumia kipaza sauti kuhutubia mazishi,Local News
2021-09-29,tl954,finally bomet sells majanichai to iran,hatimaye bomet amuuzia majanichai iran,International news
2021-07-04,tl434,lawyers condemn khaminwa 's preoccupation,mawakili walaani uvamizi wa khaminwa,Local News
2021-09-24,tl918,two accused of posing as journalists,watuhumiwa wawili wajifanya kama waandishi wa habari,Local News
2021-08-18,tl706,swahili ideology and miko that is not related to religion,itikadi ya kiswahili na miko isiyohusiana na dini,Local News
2022-05-05,tl70,nmg gives support to children 's homes,nmg yatoa msaada kwa makao ya watoto,Local News
2021-04-16,tl1257,sea hunt depletes fish,uwindaji wa baharini wapunguza samaki,Local News
2020-09-11,bbc367,another media outlet was closed in tanzania,chombo kingine cha habari kilifungwa nchini tanzania,Local News
2021-02-19,tl1579,man who pretended to be indian on facebook is charged with rape,aliyejifanya mhindi kwenye facebook ashtakiwa kwa ubakaji,Local News
2021-03-05,tl1663,kisumu elders want the government to return their omieri dragon,wazee wa kisumu wanataka serikali irudishe joka lao la omieri,Local News
2021-02-10,tl1525,relief for sonko getting bail of sh300000 but,afueni kwa sonko kupata dhamana ya sh300000 lakini ...,Local News
2021-05-05,tl1346,nema : those who grabbed land on the beach and part of the sea are warned lamu,nema : wale walionyakua ardhi ufukweni na sehemu ya bahari wanaonywa lamu,Local News
2021-12-08,bbc591,kenya : the supreme court rules that housework is work,kenya : mahakama ya juu imeamua kuwa kazi za nyumbani ni kazi,Local News
2021-02-05,tl1493,preachers express their fears about political upheaval,wahubiri waelezea hofu yao kuhusu machafuko ya kisiasa,Local News
2021-05-19,tl1422,kfs opposes the case to turn off mpesa likoni,kfs yapinga kesi ya kumzima mpesa likoni,Local News
2021-08-14,tl690,hospital admits to being overwhelmed by corona patients,hospitali yakiri kuzidiwa na wagonjwa wa corona,Health news
2021-06-13,tl285,garbage that annoyed the residents of the industrial area and banda street has been removed,takataka zilizowakera wakazi wa eneo la viwanda na mtaa wa banda zimeondolewa,Local News
2021-02-03,tl1484,those who call themselves 'mahasla ' will be sent to jail,wale wanaojiita 'mahasla ' watapelekwa jela,Local News
2021-03-05,tl1662,we are arrested because a child with vision was born in the city - koech,unakamatwa kwa sababu mtoto mwenye maono alizaliwa mjini - koech,Local News
2021-06-02,tl165,the mp wanted the government to build sunken schools,mbunge huyo alitaka serikali ijenge shule zilizozama,Local News
2019-10-05,bbc45,2000 kenyan herders estimate losses after being left with unused money,wafugaji 2000 wa kenya wanakadiria hasara baada ya kuachwa na pesa ambazo hazijatumika,Local News
2020-01-16,bbc130,but why no one was convicted,lakini kwanini hakuna mtu aliyehukumiwa,Local News
2021-02-02,tl1482,sonko 's woes increase as cases are revived,masaibu ya sonko yaongezeka huku visa vikifufuliwa,Local News
2020-06-10,bbc302,corona virus : why are kenyans asking president kenyatta to give them 'freedom ' ?,virusi vya corona : kwa nini wakenya wanamwomba rais kenyatta awape 'uhuru ' ?,Local News
2021-04-15,tl1251,the ministry wants kenyans who have lost their jobs to be paid by the government,wizara yataka wakenya waliopoteza kazi zao kulipwa na serikali,Local News
2021-09-18,tl888,bodabodas from kenya flood uganda with oil,bodabodas kutoka kenya yafurika uganda na mafuta,Local News
2020-07-28,bbc338,corona virus : why did mwalimu otieno decide to become a maid ?,virusi vya corona : kwanini mwalimu otieno aliamua kuwa mjakazi ?,Local News
2021-09-25,tl926,nhif reduces fees for dialysis ct-scan,nhif yapunguza ada ya dialysis ct-scan,Local News
2019-11-13,bbc77,paul manyasi : questions about the man who fell from the kenya airways plane,paul manyasi : maswali kuhusu mtu aliyeanguka kutoka kwa ndege ya kenya airways,Local News
2021-03-18,tl1737,former ntv presenter dies due to corona,mtangazaji wa zamani wa ntv afariki kutokana na corona,Local News
2021-06-26,tl406,fear bwanyenye another famous being killed,hofu bwanyenye mwingine maarufu kuuawa,Local News
2020-02-05,bbc149,coronavirus : kenya to bring home students who are in the isolated city of wuhan,coronavirus : kenya kuwarudisha nyumbani wanafunzi ambao wako katika jiji la pekee la wuhan,Local News
2020-04-18,bbc229,bbc rose : the story of a woman dealing with a disease that changed her appearance,bbc rose : hadithi ya mwanamke aliyeugua ugonjwa ambao ulibadilisha sura yake,Health news
2021-03-16,tl1725,the court refused to throw out the murder case against babu owino,mahakama ilikataa kutupilia mbali kesi ya mauaji dhidi ya babu owino,Local News
2021-06-28,tl414,let 's organize ourself otherwise we will be organized kabogo encourages mt . kenya,tujipange vinginevyo tutajipanga kabogo ahimiza mt . kenya,Local News
2021-03-13,tl1710,a grandmother asks the court not to release her son from prison,bibi aiomba mahakama isimwachie huru mwanawe kutoka gerezani,Local News
2020-06-07,bbc298,seven tanzanian fishermen are quarantined after being rescued at sea in kenya,wavuvi saba kutoka tanzania wawekwa karantini baada ya kuokolewa baharini nchini kenya,Local News
2020-12-20,bbc439,how can you celebrate this season without breaking your budget ?,unawezaje kusherehekea msimu huu bila kuvunja bajeti yako ?,Financial news
2022-07-13,bbc513,`` my 9 children i gave birth to alive died while i was watching '',watoto wangu 9 niliowazaa wakiwa hai walikufa nikiwa natazama,Local News
2021-07-18,tl507,raila 's sister claims acts are favored,dada yake raila adai vitendo vinapendelewa,Local News
2021-06-20,tl309,speaker muturi urges doctors to use technology for treatment,spika muturi awataka madaktari kutumia teknolojia kwa matibabu,Local News
2019-12-06,bbc107,wajir kenya : a teacher is the one who led the killing of 10 people,wajir kenya : mwalimu ndiye aliyeongoza mauaji ya watu 10,Local News
2020-03-07,bbc180,william ruto : kenya 's deputy president claims the criminal department is being 'used ' to face him politically,william ruto : naibu rais wa kenya anadai idara ya uhalifu 'inatumiwa ' kukabiliana naye kisiasa,Local News
2021-03-11,tl1689,more than 3000 people suffer from water shortage in east lamu,zaidi ya watu 3000 wanakabiliwa na uhaba wa maji lamu mashariki,Local News
2020-08-09,bbc343,letter from africa : how the generosity of africans made a nigerian teacher cry,barua kutoka afrika : jinsi ukarimu wa waafrika ulivyomfanya mwalimu wa nigeria kulia,Local News
2021-08-18,tl705,he is accused of threatening to kill a woman who refused to have sex,anatuhumiwa kwa kutishia kumuua mwanamke aliyekataa kufanya ngono,Local News
2021-05-30,tl1465,iebc blames police for by-election violence,iebc yawalaumu polisi kwa ghasia za uchaguzi mdogo,Local News
2021-09-25,tl923,the court decides obure has a case to answer the sh1.3b saga,mahakama yaamua obure ana kesi ya kujibu sakata la sh1.3b,Local News
2020-10-13,bbc392,nec responding to chadema on the tenders for voting papers,nec yajibu chadema kuhusu zabuni za karatasi za kupigia kura,Local News
2021-02-15,tl1545,bishop says corona has given kenyans an opportunity to recognize god,askofu asema corona imewapa wakenya fursa ya kumtambua mungu,Local News
2021-06-03,tl169,vihiga assembly to discuss whether four ministers should be dismissed or not,bunge la vihiga kujadili iwapo mawaziri wanne wanapaswa kufutwa kazi au la,Local News
2021-05-19,tl1429,kenya is facing a severe shortage of corona vaccine,kenya inakabiliwa na uhaba mkubwa wa chanjo ya corona,Health news
2022-07-27,tl152,raila 's reasons for folding tail,sababu za raila kukunja mkia,Local News
2021-03-04,tl1652,chaos bribery in the nakuru by-election,machafuko hongo katika uchaguzi mdogo wa nakuru,Local News
2020-01-09,bbc127,terrorist attack : 'my passengers are like my brothers and sisters ',shambulio la kigaidi : 'abiria wangu ni kama kaka na dada zangu ',Local News
2021-09-23,tl916,the ugandan team arrives for the world cup qualifying match against the junior harambee starlets,timu ya uganda yawasili kwa mechi ya kufuzu kwa kombe la dunia dhidi ya junior harambee starlets,Sports news
2022-03-07,bbc628,kenyan election 2022 : william ruto says handshake 'had a lot of fraud and corruption ',uchaguzi wa kenya 2022 : william ruto asema handshake 'ilikuwa na udanganyifu na ufisadi mwingi ',Local News
2021-09-20,tl899,peace : kalonzo awarded today in dubai,amani : kalonzo atuzwa leo dubai,International news
2021-09-17,tl881,life is more difficult in october,maisha ni magumu zaidi oktoba,Local News
2021-02-24,tl1607,there is an opportunity to strengthen bbi to make it suitable for kenyans - mudavadi,kuna fursa ya kuimarisha bbi ili kuifanya iwe sawa kwa wakenya - mudavadi,Local News
2021-06-25,tl398,west brom get a new coach sam allardyce .,west brom inapata kocha mpya sam allardyce .,Sports news
2021-09-12,tl844,concerned kra closing university accounts due to high debt,wasiwasi kra kufunga akaunti za chuo kikuu kutokana na madeni makubwa,Local News
2021-02-08,tl1510,kiplagat the old man of moi 's era who owed kope,kiplagat mzee wa enzi za moi aliyekuwa akimdai kope,Local News
2020-06-03,bbc290,corona virus : the number of people who have recovered from corona in kenya reaches 553,virusi vya corona : idadi ya watu waliopona corona nchini kenya yafikia 553,Local News
2019-12-17,bbc119,10000 flats are dangerous for the lives of people in kenya,orofa 10000 ni hatari kwa maisha ya watu nchini kenya,Local News
2021-10-13,tl1031,a young man who aims to reach the international horizon in the coming years,kijana anayelenga kufikia upeo wa kimataifa miaka ijayo,Entertainment news
2021-03-02,tl1641,sex videos to be legalized on the internet – aks,video za ngono kuhalalishwa kwenye mtandao - aks,Local News
2021-02-09,tl1520,havi aka hard,havi aka ngumu,Local News
2019-11-28,bbc92,tanzania 's minister of foreign affairs paramagamba kabudi asked kenyans to follow the example of tanzanians,waziri wa mambo ya nje wa tanzania paramagamba kabudi aliwataka wakenya kuiga mfano wa watanzania,Local News
2021-02-12,tl1534,nyachae is praised for his political bravery .,nyachae anasifiwa kwa ushujaa wake wa kisiasa .,Local News
2021-07-17,tl498,odm wants registrar to resolve nasa 's financial crisis,odm yamtaka msajili kutatua mzozo wa kifedha wa nasa,Financial news
2021-08-03,tl630,hopes for the resurrection of mumias are strengthening,matumaini ya ufufuo wa mumias yanaimarika,Local News
2021-07-28,tl604,eacc accused of sabotaging efforts to recover kilifi public funds .,eacc inatuhumiwa kuhujumu juhudi za kurejesha fedha za umma za kilifi .,Local News
2021-08-26,tl751,six police against murder charges,polisi sita dhidi ya mashtaka ya mauaji,Local News
2021-06-10,tl237,those who will reveal corruption scandals in government departments will be awarded sh2 - 5 million each,wale watakaofichua kashfa za ufisadi katika idara za serikali watapewa sh2 - milioni 5 kila mmoja,Local News
2021-04-07,tl1202,a man associated with the 'gaica army ' gang is fined sh30000 for three offenses,mwanamume anayehusishwa na genge la 'jeshi la gaica ' atozwa faini ya sh30000 kwa makosa matatu,Local News
2020-09-02,bbc363,precision air was expected to fly to nairobi on thursday,precision air ilitarajiwa kuruka hadi nairobi siku ya alhamisi,Local News
2021-05-31,tl1471,'corona infection rate continues to drop ','kiwango cha maambukizi ya corona chaendelea kushuka ',Health news
2021-03-24,tl1773,raila uhuru decide to compete in kisi,raila uhuru waamua kushindana kisi,Local News
2021-08-25,tl744,raila azuru tz on his way back to kenya from zambia,raila azuru tz akiwa njiani kurejea kenya kutoka zambia,Local News
2020-12-22,bbc443,conflict between kenya and somalia : what does the relationship between kenya and somaliland mean ?,mzozo kati ya kenya na somalia : je uhusiano kati ya kenya na somaliland unamaanisha nini ?,Local News
2021-02-20,tl1581,the 'happy hour ' program is brought back to reduce traffic in mombasa,mpango wa 'saa njema ' warejeshwa ili kupunguza msongamano wa magari mombasa,Local News
2021-10-08,tl1009,county employees strike 'unappreciated ',wafanyakazi wa kaunti wagoma 'wasiothaminiwa ',Local News
2020-02-23,bbc165,sankale ole kantai : a judge who allegedly collaborated with a kenyan murder suspect has been charged,sankale ole kantai : jaji anayedaiwa kushirikiana na mshukiwa wa mauaji mkenya amefunguliwa mashtaka,Local News
2020-03-23,bbc197,coronavirus : 'what happened to me in the quarantine ward in kenya ',coronavirus : 'ni nini kilinipata katika wadi ya karantini nchini kenya ',Local News
2021-07-29,tl608,women now cry for safety in the campaign,wanawake sasa walilia usalama kampeni,Local News
2022-03-25,tl41,sabina chege says karua has the influence to attract many votes for the resolution,sabina chege asema karua ana ushawishi wa kuvutia kura nyingi kwa azimio hilo,Local News
2021-12-01,tl1113,the state attorney orders miguna to be allowed to return,wakili wa serikali aamuru miguna aruhusiwe kurejea,Local News
2021-02-04,tl1490,mean machine and egerton wasps start chasing kenya cup entry tickets,maana mashine na egerton wasps kuanza kufukuzia tiketi za kuingia kombe la kenya,Sports news
2021-10-22,tl1060,kill his wife by abusing her in bed .,muue mkewe kwa kumnyanyasa kitandani .,Local News
2021-02-19,tl1578,the island of the rich to 'tame ' the poor,kisiwa cha matajiri kwa 'tame ' maskini,Local News
2021-07-07,bbc549,nigerian president muhammadu buhari congratulates the arrest of nnamdi kanu,nigerian president muhammadu buhari congratulates the arrest of nnamdi kanu,Local News
2021-06-08,tl215,mugabe 's sons in court oppose the exhumation of the body .,watoto wa mugabe mahakamani wanapinga kufukuliwa kwa mwili .,Local News
2020-05-14,bbc265,corona virus : the ban on quince leaves somali ruminants in trouble,virusi vya corona : marufuku ya mirungi yawaacha wawindaji wa somalia matatani,Local News
2021-09-27,tl936,less than 10 percent of farm produce exported is value added – organization studies,chini ya asilimia 10 ya mazao ya shamba yanayosafirishwa nje ni ongezeko la thamani - mafunzo ya shirika,Local News
2021-06-10,tl238,soldier in taabani prison,askari katika gereza la taabani,Local News
2021-02-15,tl1556,sheng is not the language of the court the accused is warned,sheng sio lugha ya mahakama mtuhumiwa aonywa,Local News
2021-11-07,tl1086,government failed to cope with drought - report,serikali yashindwa kukabiliana na ukame - ripoti,Local News
2021-06-06,tl188,demu amaniwa casting his in-laws,demu amaniwa akiwatupa wakwe zake,Local News
2019-08-25,bbc14,800m world champion david rudisha is involved in a fatal road accident in kenya,bingwa wa dunia wa mbio za mita 800 david rudisha amehusika katika ajali mbaya ya barabarani nchini kenya,International news
2021-05-05,tl1345,kenya tanzania relax conditions to strengthen business cooperation,kenya tanzania zapumzika masharti ya kuimarisha ushirikiano wa kibiashara,Local News
2021-03-04,tl1658,sonko suffers from brain and heart diseases he ca n't continue with the case - court,sonko anasumbuliwa na magonjwa ya ubongo na moyo hawezi kuendelea na kesi - mahakama,Local News
2021-03-05,tl1665,kenyans wonder why uhuru ruto and raila have not received the corona vaccine,wakenya washangaa ni kwa nini uhuru ruto na raila hawajapokea chanjo ya corona,Local News
2021-08-01,tl619,the price of tea is now rising as the new regulations begin to bear fruit,bei ya chai sasa inapanda huku kanuni mpya zikianza kuzaa matunda,Local News
2021-07-04,tl439,lamu port begins to be used to import coconut oil,bandari ya lamu yaanza kutumika kuagiza mafuta ya nazi,Local News
2022-05-03,tl64,anne muratha is given a class after throwing cakes at people,anne muratha apewa darasa baada ya kuwarushia watu keki,Local News
2022-07-07,tl133,marijuana found growing in a luxury house in eldoret,bangi yapatikana ikikua katika nyumba ya kifahari eldoret,Entertainment news
2021-03-19,tl1750,thieves cut the steel of the makupa bridge,wezi wakata chuma cha daraja la makupa,Local News
2020-03-15,bbc188,coronavirus : the kenyan court closes some of its activities,coronavirus : mahakama ya kenya yafunga baadhi ya shughuli zake,Local News
2021-06-11,tl258,shabana ask uungwija mhono .,shabana muulize uungwija mhono .,Local News
2021-05-06,tl1352,samia azamia a language with a unique flavor,samia azamia lugha yenye ladha ya kipekee,Local News
2020-09-02,bbc362,jane and her husband donah omondi have been married for 12 years without a child,jane na mumewe donah omondi wameoana kwa miaka 12 bila mtoto,Local News
2021-03-23,tl1766,high electricity charge deprives citizens of clean water,tozo kubwa ya umeme yawanyima wananchi maji safi,Local News
2021-11-16,tl1094,landimawe councilor agrees with nairobi water to supply mukuru-kayaba water,diwani wa landimawe akubaliana na maji ya nairobi kusambaza maji ya mukuru-kayaba,Local News
2022-07-26,bbc518,kenya election 2022 : what we know so far about the crisis facing the electoral commission iebc,uchaguzi wa kenya 2022 : tunachojua kufikia sasa kuhusu mzozo unaokumba tume ya uchaguzi iebc,Local News
2021-04-05,tl1188,bishop muheria urges chiefs and police officers to allow no more than 15 people in the church to succeed in mass and sermons through the internet,askofu muheria awataka wakuu na maafisa wa polisi kuruhusu watu wasiozidi 15 kanisani kufanikiwa katika misa na mahubiri kupitia mtandao,Local News
2021-05-12,tl1380,the judge gives his decision in standard kiswahili,jaji atoa uamuzi wake kwa kiswahili sanifu,Local News
2021-02-05,tl1496,bill for the vote of decisions to be prioritized in parliament,muswada wa sheria ya kura ya maamuzi kupewa kipaumbele bungeni,Local News
2021-03-11,tl1692,dr. mwangangi assures mps that the covid-19 vaccine is safe,dkt mwangangi awahakikishia wabunge kuwa chanjo ya covid-19 ni salama,Health news
2022-05-03,tl62,member of parliament pressuring the deputy president to resign,mbunge akimshinikiza naibu rais ajiuzulu,Local News
2020-07-08,bbc322,corona virus : kenya issues new travel guidelines to control infection,virusi vya corona : kenya yatoa miongozo mipya ya usafiri ili kudhibiti maambukizi,International news
2020-06-30,bbc314,the plight of locusts in kenya,hali ya nzige nchini kenya,Local News
2021-02-01,tl1476,sonko accompanies his lawyer to the dci offices,sonko aandamana na wakili wake katika afisi za dci,Local News
2021-03-02,tl1640,councilor removed from leadership due to bribery,diwani aondolewa kwenye uongozi kutokana na rushwa,Local News
2021-10-20,tl1053,awara got mganda drunk and robbed him of sh130000,awara alimlewesha mganda na kumpora sh130000,Local News
2020-06-24,bbc313,bbc rose : woman who claims to have sex with demons,bbc rose : mwanamke anayedai kufanya mapenzi na mapepo,Local News
2021-07-27,tl592,proposal for birth certificates to be used to register voters,mumias : wabunge wanataka mrasimu atoe ripoti ya mapato,Local News
2021-03-09,tl1679,politicians begin to be accused of election violence,wanasiasa waanza kutuhumiwa kwa ghasia za uchaguzi,Local News
2021-07-22,tl556,member of parliament doubts buxton houses if construction continues to be delayed,mbunge atilia shaka nyumba za buxton iwapo ujenzi utaendelea kucheleweshwa,Local News
2021-07-19,tl522,counties to start a milk project for young children,kaunti kuanzisha mradi wa maziwa kwa watoto wadogo,International news
2021-07-23,tl565,firefighters benefit from modern training,zimamoto wanufaika na mafunzo ya kisasa,Local News
2021-09-20,tl897,pastors from thika east will cleanse the area of death,wachungaji kutoka thika mashariki watasafisha eneo la kifo,Local News
2021-03-23,tl1769,ku referral hospital collaborating with gatundu level 5 .,hospitali ya rufaa ya ku kushirikiana na gatundu level 5 .,Health news
2021-08-07,tl652,mixed emotions ezekiel mutua being fired from the film board,hisia mchanganyiko ezekiel mutua afutwa kazi kutoka bodi ya filamu,Local News
2021-04-09,tl1215,vehicle inspection services to be implemented every friday in murang ' a .,huduma za ukaguzi wa magari zitekelezwe kila ijumaa katika murang ' a .,Local News
2021-07-20,tl541,the judge orders the arrest of the seller of strong alcohol,hakimu aamuru kukamatwa kwa muuzaji wa pombe kali,Local News
2019-12-05,bbc103,air pollution in kenya : how a campaign of mobilisers is helping to fight air pollution,uchafuzi wa hewa nchini kenya : jinsi kampeni ya wahamasishaji inavyosaidia kupambana na uchafuzi wa hewa,Local News
2021-02-15,tl1553,bishop warns men against using 'viagra ' to stimulate love,askofu awaonya wanaume dhidi ya kutumia 'viagra ' kuchochea mapenzi,Local News
2021-09-13,bbc578,find out how online influencers in kenya are paid to spread rumours,jua jinsi washawishi mtandaoni nchini kenya wanavyolipwa ili kueneza uvumi,Entertainment news
2021-11-01,tl1072,the kidnapped gumo man is released,mtu aliyetekwa nyara wa gumo aachiliwa huru,Local News
2021-05-12,tl1378,kenya suspends flights to somalia,kenya yasitisha safari zake za ndege kwenda somalia,Local News
2019-10-16,bbc61,the launch of the new sgr railway 'goes nowhere ' raises questions,kuzinduliwa kwa reli mpya ya sgr 'haiendi popote ' kunazua maswali,Local News
2021-10-01,tl983,ngilu establishes partnership with nhif to enable 200000 low income families to pay for medical treatment,ngilu aanzisha ushirikiano na nhif kuwezesha familia 200000 za kipato cha chini kugharamia matibabu,Financial news
2020-05-06,bbc251,corona virus : the streets of nairobi and mombasa are subject to a 24-hour curfew,virusi vya corona : barabara za nairobi na mombasa ziko chini ya amri ya kutotoka nje kwa saa 24,Local News
2022-06-25,bbc507,'my wheelchair wo n't stop me from racing ','kiti changu cha magurudumu hakitanizuia kukimbia ',Local News
2020-10-02,bbc385,the former famous broadcaster in kenya talks about the challenges of being overwhelmed by life,mtangazaji huyo maarufu nchini kenya anazungumzia changamoto za kulemewa na maisha,Local News
2021-07-19,tl517,raila insists those who oppose bbi are misleading kenyans,raila asisitiza wanaopinga bbi wanapotosha wakenya,Local News
2021-03-03,tl1646,the shipment of corona vaccine has arrived in kenya,shehena ya chanjo ya corona imewasili kenya,Health news
2021-04-09,tl1216,the boda boda driver is fined sh11000,dereva wa boda boda atozwa faini ya sh11000,Local News
2021-02-24,tl1608,the construction project of an education and training center to combat extremism and terrorism launched in lamu,mradi wa ujenzi wa kituo cha elimu na mafunzo cha kupambana na itikadi kali na ugaidi wazinduliwa lamu,Local News
2021-02-03,tl1487,sonko breaks down crying in court claims there is an attempt to kill him,sonko avunja kilio mahakamani adai kuna jaribio la kumuua,Local News
