date,id,news_heading_eng,news_heading_swa,News type
2021-06-17,tl301,obado 's war against raila odm is still on,vita vya obado dhidi ya raila odm bado vinaendelea,Local News
2021-05-07,tl1359,kenya takes the championship in the drug market,kenya yachukua ubingwa katika soko la dawa za kulevya,Local News
2021-08-03,tl635,accused of using a stolen id to register on the mpesa network,watuhumiwa kutumia kitambulisho kilichoibiwa kujiandikisha kwenye mtandao wa mpesa,Local News
2021-04-25,tl1297,the body of ajuza who died in 2004 is finally buried,mwili wa ajuza aliyefariki mwaka 2004 hatimaye umezikwa,Local News
2021-08-24,tl733,the bishop agreed he will raise and take care of the child born by a participant and he responded,askofu alikubali atamlea na kumtunza mtoto aliyezaliwa na mshiriki naye akajibu,Local News
2021-09-10,tl829,parliamentary aspirant in embakasi east francis mureithi wambungu ordered to appear in court to answer charge of sh220 million dod fraud,mgombea ubunge katika eneo la embakasi mashariki francis mureithi wambungu aagizwa kufika mahakamani kujibu mashtaka ya ulaghai wa sh220 milioni za dod,Local News
2021-11-07,tl1084,pastors recommend corporal punishment be returned to schools,wachungaji wapendekeza adhabu ya viboko irudishwe shuleni,Local News
2021-08-27,tl755,students pass out at school due to hunger,wanafunzi wafaulu shuleni kutokana na njaa,Local News
2021-07-29,tl607,fear the number of corona infections rising again in the country,hofu ya idadi ya maambukizi ya corona kuongezeka tena nchini,Local News
2021-02-09,tl1517,husband 55 hits his mother wanting to know his father,mume mwenye umri wa miaka 55 ampiga mama yake akitaka kumjua baba yake,Local News
2021-07-02,tl424,those imprisoned for life for hiding al-qaeda terrorists freed,wale waliofungwa jela kwa kuficha magaidi wa al-qaeda waachiwa huru,Local News
2021-02-17,tl1564,pwani insists it will stay with odm until the end it will not form a party,pwani anasisitiza kuwa itasalia na odm hadi mwisho haitaunda chama,Local News
2021-02-08,tl1511,karua : bbi is sabotaging the constitution,karua : bbi inahujumu katiba,Local News
2021-09-04,tl800,those accused of killing a kdf officer released on bail,washtakiwa wa mauaji ya afisa wa kdf aachiliwa kwa dhamana,Local News
2021-07-22,tl562,kuria yu free after the case accused of whipping a woman is terminated,kuria yu huru baada ya kesi inayotuhumiwa kumchapa mwanamke kusitishwa,Local News
2021-10-18,tl1041,nmg gives book aid to students at kawangware school,nmg yatoa msaada wa kitabu kwa wanafunzi katika shule ya kawangware,Local News
2021-06-11,tl245,that euro,hiyo euro ...,Entertainment news
2022-06-13,tl103,nestlé leads program to collect plastic waste in public schools,nestlé inaongoza mpango wa kukusanya taka za plastiki katika shule za umma,Local News
2021-08-30,tl768,supkem accuses the government of murder,supkem aituhumu serikali kwa mauaji,Local News
2021-09-28,tl951,it emerged that a businessman from south sudan a kenyan citizen was visited by two men the night he was killed,ilibainika kuwa mfanyabiashara kutoka sudan kusini raia wa kenya alitembelewa na watu wawili usiku aliouawa,Local News
2021-09-30,tl961,the dispute between the dpp and the dci is linked to the case of cohen 's murder,mzozo kati ya dpp na dci unahusishwa na kesi ya mauaji ya cohen,Local News
2021-11-19,tl1101,head of dci sentenced to four months in jail,mkuu wa dci ahukumiwa kifungo cha miezi minne jela,Local News
2021-09-02,tl795,six police denied killing two embu brothers august 1 2021,polisi sita wakanusha kuwaua ndugu wawili wa embu agosti 1 2021,Local News
2021-05-01,tl1327,uhuru lifts the order not to enter and exit five closed counties,uhuru aondoa agizo la kutoingia na kutoka kaunti tano zilizofungwa,Local News
2021-10-20,tl1055,suspects remain in cell 10 days,washukiwa wabaki kiini siku 10,Local News
2021-06-01,tl159,mku launches a center for lecturers students to practice,mku yazindua kituo cha wahadhiri wanafunzi kufanya mazoezi,Health news
2021-06-23,tl334,children should be given basari without discrimination - magoha,watoto wapewe basari bila ubaguzi - magoha,Local News
2021-08-18,tl708,ogiek ndorobo ask for a session with the president about land,ogiek ndorobo waomba kikao na rais kuhusu ardhi,Local News
2021-11-18,tl1099,mku conducts business conference,mku yafanya mkutano wa biashara,Local News
2021-09-30,tl968,companies should strengthen privacy of customer data,kampuni zinapaswa kuimarisha faragha ya data ya wateja,Local News
2021-08-16,tl697,it emerges that the ministry of tourism has stolen billions of public money,inabainika kuwa wizara ya utalii imeiba mabilioni ya fedha za umma,Local News
2021-06-21,tl318,kenyan beach volleyball players do not have corona they will compete for the olympic ticket,wachezaji wa mpira wa wavu wa ufukweni kenya hawana corona watashindania tiketi ya olimpiki,Sports news
2021-12-15,tl1141,500 sisters confront thika to be encouraged to develop themselves commercially,masista 500 wakabiliana na thika kuhimizwa kujiendeleza kibiashara,Local News
2022-05-03,tl64,anne muratha is given a class after throwing cakes at people,anne muratha apewa darasa baada ya kuwarushia watu keki,Local News
2021-05-18,tl1419,accused of doing a stupid act on a ferry,mtuhumiwa kufanya kitendo cha kijinga kwenye kivuko,Local News
2021-02-09,tl1516,young people miss out on kdf positions by using fake certificates .,vijana wanakosa nafasi za kdf kwa kutumia vyeti bandia .,Local News
2021-07-04,tl448,knut 's party may fail to rise again,chama cha knut huenda kikashindwa kuinuka tena,Local News
2021-04-08,tl1212,president kenyatta inaugurates security department weapons factory ruiru,rais kenyatta azindua kiwanda cha silaha cha idara ya usalama ruiru,Local News
2021-06-15,tl292,the parents ' association wants the government to prosecute head teachers who charge illegal fees,chama cha wazazi kinaitaka serikali kuwashtaki walimu wakuu wanaotoza ada haramu,Local News
2021-02-12,tl1537,kanu jubilee accuse each other of chaos,kanu jubilee zashutumiana kwa machafuko,Local News
2021-07-23,tl564,the policy of pregnant women entering the classroom should be repealed teachers,sera ya mama wajawazito kuingia darasani ifutwe walimu,Local News
2021-06-24,tl373,parents raise their children properly because they are a trust from god,wazazi hulea watoto wao vizuri kwa sababu wao ni imani kutoka kwa mungu,Local News
2021-06-10,tl220,maraga mutunga wanguruma,maraga mutunga wanguruma,Local News
2021-05-01,tl1324,british man wants judge to recuse from child custody case,mwanamume mwingereza ataka jaji ajiondoe katika kesi ya mahabusu ya watoto,Local News
2021-06-05,tl182,suleiman shahbal promises to solve the businessmen 's trouble in another mother 's garden,suleiman shahbal aahidi kutatua shida ya wafanyabiashara katika bustani nyingine ya mama,Local News
2021-07-19,tl524,the champions are back !,mabingwa wamerudi !,Sports news
2021-10-06,tl998,ncba bank launches ruiru branch,benki ya ncba yazindua tawi la ruiru,Local News
2021-05-11,tl1392,girls outnumber boys in kcse,wasichana wawazidi wavulana kcse,Local News
2021-03-25,tl1779,a child killed by their donkey,mtoto auawa na punda wao,Local News
2021-03-15,tl1722,families begin to move from the ngong river,familia zaanza kuhama kutoka mto ngong,Local News
2021-09-27,tl939,40 injured in an explosion at a factory in tanzania,watu 40 wajeruhiwa katika mlipuko katika kiwanda tanzania,Local News
2021-09-11,tl836,muslims call on dci to stop kidnapping,waislamu watoa wito kwa dci kuacha utekaji nyara,Local News
2022-06-22,tl114,presidential candidate loses case and asks for a bottle of water,mgombea urais apoteza kesi na kuomba chupa ya maji,Local News
2021-04-07,tl1199,the county assembly is closed to avoid the spread of corona,bunge la kaunti limefungwa ili kuepuka kuenea kwa corona,Local News
2021-04-14,tl1248,oil price will not change - govt,bei ya mafuta haitabadilika - govt,Local News
2021-04-30,tl1320,overcrowding of patients in hospitals,msongamano wa wagonjwa hospitalini,Health news
2021-03-26,tl1787,2008 people were diagnosed with corona in kenya in a period of 24 hours,watu 2008 walipatikana na janga la corona nchini kenya katika kipindi cha saa 24,Health news
2021-06-11,tl239,sweet love is actions,mapenzi matamu ni vitendo,Local News
2021-12-13,tl1132,uhuru restores the republic where it started,uhuru arejesha jamhuri ilipoanzia,Local News
2021-07-17,tl497,waiguru feels this is the right time for jubilee to wake up,waiguru ahisi huu ndio wakati mwafaka kwa jubilee kuamka,Local News
2021-03-04,tl1654,tylor ongwae 's bakken bears hit the brakes after 18-game win in denmark,bakken bears ya tylor ongwae yagonga breki baada ya ushindi wa mechi 18 nchini denmark,Sports news
2021-11-29,tl1106,sonko a thorn for politicians and government officials,sonko mwiba kwa wanasiasa na maafisa wa serikali,Local News
2021-05-19,tl1425,members of parliament to meet to discuss and vote on the report on the suitability of judge martha koome for the position of chief justice,wabunge kukutana kujadili na kupigia kura ripoti ya ufaafu wa jaji martha koome kwa nafasi ya jaji mkuu,Local News
2021-06-25,tl397,notice to matatu servicemen regarding violations of the law in the city,ilani kwa wahudumu wa matatu kuhusu ukiukwaji wa sheria jijini,Local News
2021-08-26,tl747,poverty pushes fishermen in dangerous seas,umaskini wawasukuma wavuvi katika bahari hatari,Local News
2021-09-10,tl833,mps senators want soldiers to be sent to laikipia to calm the situation,wabunge maseneta wataka wanajeshi wapelekwe laikipia kutuliza,Local News
2021-06-28,tl414,let 's organize ourself otherwise we will be organized kabogo encourages mt . kenya,tujipange vinginevyo tutajipanga kabogo ahimiza mt . kenya,Local News
2021-03-18,tl1742,president kenyatta announces 7 days of mourning for magufuli flag at half mast,rais kenyatta atangaza siku 7 za maombolezo kwa magufuli bendera nusu mlingoti,Local News
2021-09-16,tl870,report raises concerns about pork safety,ripoti yaibua wasiwasi kuhusu usalama wa nyama ya nguruwe,Local News
2021-07-18,tl512,7 travelers from tz escape after their boats sink,wasafiri 7 kutoka tz watoroka baada ya boti zao kuzama,Local News
2021-08-18,tl709,psychologists discuss rising suicides,wanasaikolojia wajadili kuongezeka kwa visa vya kujiua,Health news
2021-05-13,tl1387,whatsapp starts implementing new terms saturday,whatsapp yaanza kutekeleza masharti mapya jumamosi,International news
2021-07-19,tl520,let 's motivate women to contribute to the digital economy,tuhamasishe wanawake kuchangia uchumi wa kidijitali,Local News
2021-06-25,tl398,west brom get a new coach sam allardyce .,west brom inapata kocha mpya sam allardyce .,Sports news
2021-10-14,tl1033,bud appiah begins to see the fruits of acting,bud appiah aanza kuona matunda ya uigizaji,Entertainment news
2021-03-22,tl1758,the government plans to create new areas,serikali yapanga kubuni maeneo mapya,Local News
2021-07-05,tl456,odm ignores allegations of losing support on the coast,odm yapuuza madai ya kupoteza uungwaji mkono pwani,Local News
2021-07-13,tl486,the court is shown the video of sharon 's body the case against obado begins,mahakama inaonyeshwa video ya mwili wa sharon kesi dhidi ya obado yaanza,Local News
2021-09-12,tl846,government to build victims paying for housing,serikali kuwajenga waathirika wanaolipia nyumba,Local News
2021-04-02,tl1174,3000 families ordered to move to ngong river,familia 3000 zaamriwa kuhamia mto ngong,Local News
2021-07-02,tl425,islamic leaders accuse tsc of not hiring many ire teachers,viongozi wa kiislamu waishutumu tsc kwa kutoajiri walimu wengi wa ire,Local News
2021-02-17,tl1569,county officers under fire for finding weapons,maafisa wa kaunti wachomwa moto kwa kutafuta silaha,Local News
2021-03-12,tl1697,dismissed due to pregnancy awarded sh1.4m,afukuzwa kazi kwa sababu ya ujauzito kupewa sh1.4m,Local News
2021-05-07,tl1356,counties to be deprived of vaccinations should be sent elsewhere,kaunti zitakazonyimwa chanjo zipelekwe kwingineko,Health news
2021-02-05,tl1496,bill for the vote of decisions to be prioritized in parliament,muswada wa sheria ya kura ya maamuzi kupewa kipaumbele bungeni,Local News
2021-06-25,tl391,anticipated dust rivals germany england meet round of 16-best,wapinzani wa vumbi wanaotarajiwa ujerumani uingereza wakutana raundi ya 16-bora,Sports news
2021-10-06,tl1002,kidnappings that have increased in the mountain cause fear,utekaji nyara ambao umeongezeka mlimani husababisha hofu,Local News
2021-03-16,tl1728,investigation initiated following the death of thika businessman,uchunguzi waanzishwa kufuatia kifo cha mfanyabiashara wa thika,Local News
2021-08-10,tl667,kiambu farmers receive sh39 million check to jack up their agricultural activities,wakulima wa kiambu wapokea hundi ya sh39 milioni ili kukwamisha shughuli zao za kilimo,Local News
2021-06-20,tl307,men are encouraged to take responsibility for their responsibilities in the family,wanaume wanahimizwa kuwajibika katika majukumu yao katika familia,Local News
2021-06-08,tl205,safe menstruation is still a challenge for girls in school,hedhi salama bado ni changamoto kwa wasichana shuleni,Health news
2021-08-31,tl777,kenya needs modern methods to improve infrastructure,kenya yahitaji mbinu za kisasa kuboresha miundombinu,Local News
2021-09-02,tl792,his son the former minister escaped from the loop,mwanawe waziri wa zamani alitoroka kutoka kitanzini,Local News
2021-05-10,tl1367,china promotes better services to protect children after school,china yaendeleza huduma bora kuwalinda watoto baada ya shule,International news
2021-06-08,tl208,kru bringing kenya 's simbas stars to the 2023 world cup qualifying matches,kru yaipeleka simbas stars ya kenya kwenye mechi za kufuzu kombe la dunia 2023,Sports news
2021-04-27,tl1310,compensation payment to lamu residents is before june,malipo ya fidia kwa wakazi wa lamu ni kabla ya juni,Local News
2021-06-24,tl387,sofapaka to face defence gor and afc facing opponents tomorrow,sofapaka kukabiliana na ulinzi gor na afc kukabiliana na wapinzani kesho,Sports news
2021-05-14,tl1403,the wonder of one school registering ' e ' in all science subjects,maajabu ya shule moja kusajili ' e ' katika masomo yote ya sayansi,Local News
2021-03-16,tl1724,kenyans are angry with mps for pretending to sympathize with them,wakenya wamekasirishwa na wabunge kwa kujifanya wanawahurumia,Local News
2021-06-12,tl267,your view of life is your choice but in all focus on wisdom,mtazamo wako kuhusu maisha ni chaguo lako lakini kwa wote zingatia hekima,Local News
2021-08-18,tl714,kitengela international school kiswahili club is a strong light of the language,kitengela international school kiswahili club ni mwanga imara wa lugha,Local News
2021-08-10,tl671,the judge suspects there is a conspiracy to delay the corruption case against jumwa,jaji anashuku kuna njama ya kuchelewesha kesi ya ufisadi dhidi ya jumwa,Local News
2021-04-27,tl1311,the tension between ottichillo and his few deputies,mvutano kati ya ottichillo na manaibu wake wachache,Local News
2021-03-29,tl1801,parents weep corona rules hurt kcse candidates,wazazi walia sheria za corona zawaumiza wagombea wa kcse,Local News
2021-10-18,tl1042,ngirici wants bodaboda operators to avoid crime,ngirici ataka waendeshaji bodaboda kuepuka uhalifu,Local News
2022-01-26,tl15,how mudavadi betrayed his oka colleagues,jinsi mudavadi alivyowasaliti wenzake wa oka,Local News
2021-06-14,tl290,harassment : mp encourages women to speak out instead of humiliating themselves,unyanyasaji : mbunge awahimiza wanawake kupaza sauti badala ya kujidhalilisha,Local News
2021-09-13,tl849,muslims criticize the government about the arrest of terrorism suspects,waislamu waikosoa serikali kuhusu kukamatwa kwa washukiwa wa ugaidi,Local News
2021-09-18,tl888,bodabodas from kenya flood uganda with oil,bodabodas kutoka kenya yafurika uganda na mafuta,Local News
2021-12-16,tl1146,government to assess vat charged on vegetable seeds,serikali kufanya tathmini ya vat inayotozwa kwenye mbegu za mboga,Local News
2021-03-15,tl1716,those who are targeted by the crorona vaccine are afraid,wale wanaolengwa na chanjo ya crorona wanaogopa,Local News
2021-02-15,tl1552,activists call on the government to ban all use of plastic,wanaharakati waitaka serikali kupiga marufuku matumizi yote ya plastiki,Local News
2021-03-02,tl1636,how the maasai promote tourism through moran festivals,jinsi wamasai wanavyokuza utalii kupitia sherehe za moran,Local News
2021-03-31,tl1815,arrests of those who do n't wear masks reach the streets .,kukamatwa kwa wale wasiovaa barakoa kufika mitaani .,Local News
2021-06-23,tl353,bitok filter queen strikers squad,kikosi cha washambuliaji malkia wa bitok filter,Local News
2021-03-01,tl1624,corona vaccine to land in nairobi on tuesday,chanjo ya corona kutua nairobi jumanne,Health news
2021-03-23,tl1769,ku referral hospital collaborating with gatundu level 5 .,hospitali ya rufaa ya ku kushirikiana na gatundu level 5 .,Health news
2021-03-12,tl1698,odm claims 4 leaders have prepared handiseki to benefit,odm yadai viongozi 4 wameandaa handiseki kunufaika,Local News
2021-04-09,tl1214,kenya requests another sh86 billion loan from the world bank .,kenya yaomba mkopo mwingine wa sh86 bilioni kutoka benki ya dunia .,Financial news
2021-04-16,tl1254,the results of the kiswahili lesson improved significantly,matokeo ya somo la kiswahili yaliimarika kwa kiasi kikubwa,Local News
2021-04-17,tl1264,center of excellence in danger of fading after his death,kituo cha ubora katika hatari ya kufifia baada ya kifo chake,Local News
2021-04-01,tl1164,what uprooted sheffie weru from work find a new witness he says it 's just nonsense,kilichomng'oa sheffie weru kazini kupata shahidi mpya anasema ni upuuzi tu,Local News
2021-11-02,tl1074,wamalwa guarantees access to justice for the family of agnes wanjiru who was killed by a british soldier,wamalwa ahakikisha upatikanaji wa haki kwa familia ya agnes wanjiru aliyeuawa na askari wa uingereza,Local News
2021-03-04,tl1652,chaos bribery in the nakuru by-election,machafuko hongo katika uchaguzi mdogo wa nakuru,Local News
2021-08-27,tl758,balaa belua 3 elderly being killed for allegations of superstition,balaa belua 3 wazee wauawa kwa tuhuma za ushirikina,Local News
2021-09-02,tl794,if you are cheated of money on the phone it is better to just forget about it - dci,ikiwa unadanganywa pesa kwenye simu ni bora kusahau tu kuhusu hilo - dci,Local News
2021-03-22,tl1759,male prostitutes are on the rise in mombasa,makahaba wa kiume waongezeka mombasa,Local News
2021-02-19,tl1579,man who pretended to be indian on facebook is charged with rape,aliyejifanya mhindi kwenye facebook ashtakiwa kwa ubakaji,Local News
2021-09-20,tl894,kenyans flock to ug to buy fuel,wakenya wamiminika ug kununua mafuta,Local News
2022-03-15,tl36,some thika residents are protesting wanting ruto to stop attacking his boss,baadhi ya wakazi wa thika waandamana wakimtaka ruto aache kumshambulia bosi wake,Local News
2021-02-28,tl1621,residents now clean the city every month,wakazi sasa wasafi mji kila mwezi,Local News
2021-03-04,tl1657,echesa akamatwe once - chebukati,echesa akamatwe mara moja - chebukati,Local News
2021-03-09,tl1678,kenya is trending with money laundering,kenya inavuma kwa utakatishaji fedha,Local News
2022-06-20,tl110,the heifer organization encourages youth to be the front line to strengthen agriculture and animal husbandry,shirika la heifer linahimiza vijana kuwa mstari wa mbele kuimarisha kilimo na ufugaji wa wanyama,Local News
2021-07-22,tl553,8 people killed in attacks after matiang ' i visit,watu 8 wauawa katika mashambulizi baada ya ziara ya matiang ' i,Local News
2022-05-10,tl74,tuju apuuzilia mbali the action of dr. mutua to vote for the resolution,tuju apuuzilia mbali kitendo cha dkt mutua kupigia kura azimio,Local News
2021-10-22,tl1062,we have been ignored by president uhuru wapani cried,tumepuuzwa na rais uhuru wapani alilia,Local News
2021-09-13,tl848,residents of ol moran reluctant to return to them,wakazi wa ol moran wasita kurejea kwao,Local News
2021-03-12,tl1696,zack kinuthia reveals about sh5.6 billion plan to develop sports talents in the village,zack kinuthia afichua kuhusu mpango wa sh5.6 bilioni wa kukuza vipaji vya michezo kijijini,Sports news
2022-06-04,tl91,samples of those suspected of suffering from 'monkeypox ' were tested in senegal,sampuli za wale wanaoshukiwa kuugua 'monkeypox ' zilipimwa senegal,Local News
2021-06-21,tl317,afc leopards youth are increasingly successful in the league,vijana wa afc leopards wazidi kufanikiwa ligini,Sports news
2021-05-03,tl1330,soccer players apply for work on the afraha stadium renovation project .,wachezaji wa soka waomba kazi kwenye mradi wa ukarabati wa uwanja wa afraha .,Sports news
