date,id,news_heading_eng,news_heading_swa,news_type
2022-05-17,bbc655,freshley mwamburi : stella was a real person and married to a japanese,freshley mwamburi : stella alikuwa mtu halisi na aliolewa na mjapani,Local News
2020-04-14,bbc221,corona virus : the funeral process hurts the feelings and beliefs of the community,virusi vya corona : mchakato wa mazishi unaumiza hisia na imani za jamii,Local News
2021-12-08,bbc591,kenya : the supreme court rules that housework is work,kenya : mahakama ya juu imeamua kuwa kazi za nyumbani ni kazi,Local News
2020-09-11,bbc367,another media outlet was closed in tanzania,chombo kingine cha habari kilifungwa nchini tanzania,Local News
2022-05-30,bbc661,kenya election 2022 : misinformation circulating online,uchaguzi wa kenya 2022 : taarifa potofu zinazosambazwa mtandaoni,Local News
2022-03-28,bbc639,kenya to receive millions to fight covid was caught in jersey,kenya kupokea mamilioni kupambana na covid ilinaswa huko jersey,Local News
2021-04-29,bbc494,kenya is about to have a new female chief justice what challenges will she face ?,kenya inakaribia kuwa na jaji mkuu mpya wa kike ni changamoto gani atakabiliana nazo ?,Local News
2020-04-24,bbc236,corona virus : british scientists want their vaccine to be tested in kenya,virusi vya corona : wanasayansi wa uingereza wanataka chanjo yao kufanyiwa majaribio nchini kenya,International news
2021-05-02,bbc524,tanzanian president samia suluhu to make a working visit to kenya,rais wa tanzania samia suluhu kufanya ziara ya kikazi nchini kenya,Local News
2020-06-05,bbc293,coronavirus : why is there a state of uncertainty at the namanga and holili border ?,coronavirus : kwa nini kuna hali ya kutokuwa na uhakika katika mpaka wa namanga na holili ?,Local News
2021-06-01,bbc538,lake victoria is increasing in size and losing its beaches,ziwa victoria linaongezeka ukubwa na kupoteza fukwe zake,Local News
2020-04-10,bbc216,corona virus : kenyans condemn the alleged racial discrimination against their colleagues in china,virusi vya corona : wakenya wanalaani madai ya ubaguzi wa rangi dhidi ya wenzao nchini china,International news
2021-08-24,bbc572,tanzania : how has the economy of tanzania withstood the effects of corona ?,tanzania : je uchumi wa tanzania umestahimili vipi madhara ya corona ?,Financial news
2020-08-20,bbc353,travelers from 130 countries will enter kenya without being quarantined tanzania is not included,wasafiri kutoka nchi 130 wataingia kenya bila kuwekwa karantini tanzania haijajumuishwa,International news
2021-03-14,bbc471,a former famous kenyan musician has died,mwanamuziki mashuhuri wa zamani wa kenya amefariki dunia,Local News
2019-10-16,bbc61,the launch of the new sgr railway 'goes nowhere ' raises questions,kuzinduliwa kwa reli mpya ya sgr 'haiendi popote ' kunazua maswali,Local News
2020-03-27,bbc200,coronavirus : kenyans are enforcing the night curfew for the second day,coronavirus : wakenya wanatekeleza amri ya kutotoka nje usiku kwa siku ya pili,Local News
2019-11-11,bbc75,do you know the effects of toxic fungi in your food ?,je unafahamu madhara ya sumu kuvu kwenye chakula chako ?,Health news
2021-07-31,bbc560,the kenyan athlete is excluded from the olympics,mwanariadha huyo wa kenya ameondolewa kwenye michuano ya olimpiki,Sports news
2020-06-05,bbc294,corona virus : residents of old town and eastleigh under curfew complain about what they are going through in kenya,virusi vya corona : wakaazi wa old town na eastleigh chini ya marufuku ya kutotoka nje walalamika kuhusu wanayopitia kenya,Local News
2021-06-10,bbc542,east africa : all eyes on the budget,afrika mashariki : macho yote kwenye bajeti,Financial news
2022-04-23,bbc648,mwai kibaki : how he gave hope and disappointed kenyans,mwai kibaki : jinsi alivyotoa matumaini na kuwakatisha tamaa wakenya,Local News
2021-02-10,bbc456,the american embassy in tanzania warns of corona infection,ubalozi wa marekani nchini tanzania waonya kuhusu maambukizi ya corona,International news
2020-01-22,bbc134,public workers were panicking after the al shabaab attack,wafanyakazi wa umma walikuwa na hofu baada ya shambulio la al shabaab,Local News
2019-09-24,bbc35,what is the role of society in listening to teenage children to prevent them from committing suicide ?,je jamii ina nafasi gani katika kuwasikiliza watoto matineja ili kuwazuia wasijiue ?,Local News
2021-04-04,bbc478,kenya responds to the british ban by imposing conditions on the country 's citizens,kenya inajibu marufuku hiyo ya uingereza kwa kuweka masharti kwa raia wa nchi hiyo,International news
2020-12-22,bbc443,conflict between kenya and somalia : what does the relationship between kenya and somaliland mean ?,mzozo kati ya kenya na somalia : je uhusiano kati ya kenya na somaliland unamaanisha nini ?,Local News
2019-10-12,bbc55,ineos challenge 1:59 : eliud kipchoge sets the best time under two hours in the marathon race,ineos challenge 1:59 : eliud kipchoge aweka muda bora chini ya saa mbili katika mbio za marathon,Sports news
2020-05-05,bbc249,corona virus : who authorizes kenya to test the covid-19 vaccine,virusi vya corona : who yaidhinisha kenya kufanya majaribio ya chanjo ya covid-19,Health news
2022-02-08,bbc616,kenyan election 2022 : president kenyatta and his deputy ruto throw sparks at each other in public,uchaguzi wa kenya 2022 : rais kenyatta na naibu wake ruto walirushiana cheche hadharani,Local News
2020-07-15,bbc327,corona virus : kenya restores air travel,virusi vya corona : kenya kurejesha usafiri wa anga,International news
2019-11-04,bbc71,the population of kenya has increased to 47.5 million in a decade,idadi ya watu nchini kenya imeongezeka hadi milioni 47.5 katika muongo mmoja,International news
2019-11-13,bbc77,paul manyasi : questions about the man who fell from the kenya airways plane,paul manyasi : maswali kuhusu mtu aliyeanguka kutoka kwa ndege ya kenya airways,Local News
2022-07-27,bbc522,kenya election 2022 : the truth about the statements of deputy president william ruto in the presidential debate,uchaguzi wa kenya 2022 : ukweli kuhusu matamshi ya naibu rais william ruto katika mjadala wa urais,Local News
2021-03-11,bbc470,the former prime minister of kenya raila odinga was diagnosed with the corona virus,waziri mkuu wa zamani wa kenya raila odinga alipatikana na virusi vya corona,Local News
2020-05-13,bbc263,corona virus : a kenyan nurse tells how she was isolated for caring for corona patients,virusi vya corona : muuguzi wa kenya aeleza jinsi alivyotengwa kuwahudumia wagonjwa wa corona,Health news
2020-03-20,bbc194,coronavirus : tanzanians and kenyans pressure their governments to announce a 'lockdown ' ?,coronavirus : watanzania na wakenya wanashinikiza serikali zao kutangaza 'lockdown ' ?,Local News
2021-04-05,bbc481,kenya airways to suspend uk flights on friday,shirika la ndege la kenya airways kusitisha safari za ndege za uingereza siku ya ijumaa,International news
2019-11-06,bbc73,nashami wangara : a woman who suffered from sex addiction for six years,nashami wangara : mwanamke ambaye aliteseka kutokana na uraibu wa ngono kwa miaka sita,Local News
2019-08-22,bbc10,the closure of recreational areas during the census sparked a debate in kenya,kufungwa kwa maeneo ya burudani wakati wa sensa kulizua mjadala nchini kenya,Local News
2022-02-08,bbc615,collins kibet : president moi 's grandson is evicted from the house he lives in in kenya,collins kibet : mjukuu wa rais moi afukuzwa kutoka kwa nyumba anayoishi nchini kenya,Local News
2020-09-06,bbc365,china to 'build ' military bases in tanzania and kenya,china 'kujenga ' vituo vya kijeshi nchini tanzania na kenya,International news
2021-06-16,bbc545,the lawyer of the revival sheikhs talks about their release,mwanasheria wa masheikh wa uamsho akizungumzia kuachiliwa kwao,Local News
2021-06-22,bbc546,gaddafi 's `` castle in the air '' lands at home in libya after a decade,ngome angani ya gaddafi yatua nyumbani libya baada ya muongo mmoja,Local News
2019-09-30,bbc40,new currency : the use of the old 1000 kenyan shilling note is limited,fedha mpya : matumizi ya noti ya zamani ya shilingi 1000 ya kenya ni ndogo,Local News
2020-11-09,bbc406,find out why the elderly in the kilifi region of kenya fear for their lives ?,jua kwa nini wazee katika eneo la kilifi nchini kenya wanahofia maisha yao ?,Local News
2019-11-27,bbc91,phenny awiti : a gift of bread and soda led to her being diagnosed with hiv,phenny awiti : zawadi ya mkate na soda ilimpelekea kugunduliwa kuwa na vvu,Health news
2020-04-03,bbc205,corona virus : kenyan athlete wilson kipsang arrested for being drunk during curfew,virusi vya corona : mwanariadha wa kenya wilson kipsang akamatwa kwa kulewa wakati wa marufuku ya kutotoka nje,Sports news
2020-10-31,bbc403,tanzania election results 2020 : kenyan president congratulates magufuli,matokeo ya uchaguzi wa tanzania 2020 : rais wa kenya ampongeza magufuli,International news
2022-04-01,bbc641,elections kenya 2022 : voters ' passion desire to open a new page and influence on neighbours,uchaguzi kenya 2022 : shauku ya wapigakura hamu ya kufungua ukurasa mpya na ushawishi kwa majirani,Local News
2020-12-03,bbc428,corona virus : the us cdc will warn citizens going to east africa,virusi vya corona : cdc ya marekani itawaonya raia wanaokwenda afrika mashariki,International news
2020-03-08,bbc181,coronavirus : how 'stigma ' fueled hatred against chinese in kenya,coronavirus : jinsi 'unyanyapaa ' ulivyochochea chuki dhidi ya wachina nchini kenya,International news
2019-08-18,bbc3,maasai mara park : plane crashes after hitting two wildebeests in kenya,maasai mara park : ndege yaanguka baada ya kuwagonga nyumbu wawili nchini kenya,Local News
2020-11-18,bbc413,bbc rose : men have run away from me because of my beard,bbc rose : wanaume wamenikimbia kwa sababu ya ndevu zangu,Local News
2019-12-07,bbc108,likoni feri : the body of a man and his car that went into the sea were recovered in mombasa kenya,kivuko cha likoni : mwili wa mwanamume na gari lake ulioingia baharini umepatikana mombasa kenya,Local News
2021-03-05,bbc466,debt burden : the imf continues efforts to free zambia from chinese debt,mzigo wa deni : imf inaendelea na juhudi za kuikomboa zambia kutoka kwa deni la china,International news
2019-08-28,bbc17,has the plastic ban succeeded in kenya ?,je marufuku ya plastiki imefaulu nchini kenya ?,Local News
2020-02-10,bbc156,some kenyans drink milk soda and snacks at moi 's funeral ?,wakenya wengine hunywa maziwa soda na vitafunwa kwenye mazishi ya moi ?,Local News
2020-05-19,bbc272,corona virus : kenya says 'the enemy is not tanzania but corona ',virusi vya corona : kenya yasema 'adui si tanzania bali corona ',Local News
2019-12-06,bbc106,tassia : the number of people who died after a building collapsed in kenya reached 5 people,tassia : idadi ya watu waliofariki baada ya jengo kuporomoka nchini kenya ilifikia watu 5,Local News
2022-03-23,bbc637,bbc rose : i found out my biological mother and my ex-husband are lovers,bbc rose : niligundua mama yangu mzazi na mume wangu wa zamani ni wapenzi,Local News
2020-09-22,bbc375,parliament speaker justin muturi says it is impossible to dissolve parliament in kenya,spika wa bunge justin muturi anasema haiwezekani kuvunja bunge nchini kenya,Local News
2021-08-26,bbc574,william ruto : kenya 's deputy president campaigned for 'hustler nation,william ruto : naibu rais wa kenya alifanyia kampeni 'hustler nation ',Local News
2022-01-06,bbc604,job ndugai : mixed opinions are expressed about his resignation as speaker,job ndugai : maoni mseto yatolewa kuhusu kujiuzulu kwake uspika,Local News
2020-01-28,bbc138,has the bbi reconciliation turned into a political rift in kenya ?,je maridhiano ya bbi yamegeuka na kuwa mpasuko wa kisiasa nchini kenya ?,Local News
2020-02-24,bbc166,a male butterfly giving birth to female butterflies on the coast of kenya,kipepeo dume anayezaa vipepeo jike kwenye pwani ya kenya,Entertainment news
2022-07-13,bbc513,`` my 9 children i gave birth to alive died while i was watching '',watoto wangu 9 niliowazaa wakiwa hai walikufa nikiwa natazama,Local News
2021-04-10,bbc487,tanzanian president samia suluhu hassan receives a special message from kenyan president kenyatta,rais wa tanzania samia suluhu hassan akipokea ujumbe maalum kutoka kwa rais kenyatta wa kenya,Local News
2020-06-03,bbc290,corona virus : the number of people who have recovered from corona in kenya reaches 553,virusi vya corona : idadi ya watu waliopona corona nchini kenya yafikia 553,Local News
2020-06-03,bbc289,bbc rose : 'my husband used to sexually assault and rape me ',bbc rose : 'mume wangu alikuwa akininyanyasa kingono na kunibaka ',Local News
2020-03-03,bbc173,will the fine reduce the spread of false information about covid19 ?,je faini hiyo itapunguza kuenea kwa habari za uwongo kuhusu covid19 ?,Local News
2019-12-06,bbc107,wajir kenya : a teacher is the one who led the killing of 10 people,wajir kenya : mwalimu ndiye aliyeongoza mauaji ya watu 10,Local News
2021-07-23,bbc558,wives of presidents : meet the wife of the drc president denise nyakeru nkana tshisekedi,wake wa marais : kutana na mke wa rais wa drc denise nyakeru nkana tshisekedi,Local News
2020-09-27,bbc381,the way the three kenyan families ruled kenyan politics will there be a change ?,jinsi familia tatu za wakenya zilivyotawala siasa za kenya kutakuwa na mabadiliko ?,Local News
2022-05-17,bbc656,kenyan election 2022 : why are kikuyu votes being fought for in the election ?,uchaguzi wa kenya 2022 : kwa nini kura za wakikuyu zinapiganiwa katika uchaguzi huo ?,Local News
2022-05-10,bbc654,bbc rose : 'stepmothers are not the enemy,bbc rose : 'mama wa kambo sio adui,Local News
2021-04-07,bbc484,'no death caused by astrazeneca kenya vaccine ','hakuna kifo kilichosababishwa na chanjo ya astrazeneca kenya ',Health news
2020-12-14,bbc434,mother 's reasons for deciding to sell her son to kenya for 70 pounds,sababu za mama kuamua kumuuza mwanawe kenya kwa pauni 70,Local News
2021-03-14,bbc472,kenya withdrew from the hearing of its water dispute with somalia,kenya ilijiondoa katika kusikilizwa kwa mzozo wake wa maji na somalia,Local News
2020-09-24,bbc378,officials involved in the corruption of millions of dollars in relation to corona devices in kenya to be named,maafisa waliohusika katika ufisadi wa mamilioni ya dola kuhusiana na vifaa vya corona nchini kenya kutajwa,Local News
2019-09-19,bbc32,russia to help uganda build its nuclear power which african countries use nuclear energy and why ?,urusi kuisaidia uganda kujenga nguvu zake za nyuklia nchi gani za afrika zinatumia nishati ya nyuklia na kwa nini ?,International news
2019-11-18,bbc82,kenya and china are still building railways for the benefit of the african economy,kenya na china bado zinajenga reli kwa manufaa ya uchumi wa afrika,International news
2019-08-16,bbc2,baktash akasha : mombasa 's main drug trafficker to be sentenced today in the united states,baktash akasha : mlanguzi mkuu wa dawa za kulevya mombasa ahukumiwa leo nchini marekani,International news
2021-05-31,bbc537,the brother of a turkish religious leader was arrested in kenya,ndugu wa kiongozi wa kidini wa uturuki alikamatwa nchini kenya,Local News
2019-12-05,bbc103,air pollution in kenya : how a campaign of mobilisers is helping to fight air pollution,uchafuzi wa hewa nchini kenya : jinsi kampeni ya wahamasishaji inavyosaidia kupambana na uchafuzi wa hewa,Local News
2021-01-24,bbc450,letter from africa : africa no longer needs american advice,barua kutoka afrika : afrika haihitaji tena ushauri wa marekani,International news
2020-04-24,bbc237,corona virus : uganda will look to control corona by stopping the drivers of kenya tanzania,virusi vya corona : uganda itajaribu kudhibiti corona kwa kuwasimamisha madereva wa kenya tanzania,Local News
2022-02-22,bbc619,how kenya faced russia through the speech of its ambassador martin kimani in the united nations security council meeting,jinsi kenya ilikabiliana na urusi kupitia hotuba ya balozi wake martin kimani katika mkutano wa baraza la usalama la umoja wa mataifa,International news
2022-07-25,bbc514,kenya : life in an environment of severe food shortages,kenya : maisha katika mazingira yenye uhaba mkubwa wa chakula,Local News
2021-08-20,bbc569,bbi : rege is muted as mixed opinions are expressed about the court 's decision,bbi : rege amenyamazishwa huku maoni mseto yakitolewa kuhusu uamuzi wa mahakama,Local News
2020-10-20,bbc399,trump has planned to remove sudan from the list of countries sponsoring terrorism,trump amepanga kuiondoa sudan katika orodha ya nchi zinazofadhili ugaidi,International news
2020-11-02,bbc405,the kenyan who was wanted by the icc surrendered,mkenya huyo aliyekuwa akisakwa na icc alijisalimisha,Local News
2021-07-15,bbc552,he was killed by being shot for raping his daughter,aliuawa kwa kupigwa risasi kwa kumbaka bintiye,Local News
2020-02-26,bbc168,mrkh : julian peters is a woman born without a vagina or womb,mrkh : julian peters ni mwanamke aliyezaliwa bila uke au tumbo la uzazi,Local News
2021-10-20,bbc586,the second judge withdraws from the case of tanzanian opposition leader mbowe,jaji wa pili ajiondoa katika kesi ya kiongozi wa upinzani tanzania mbowe,Local News
2020-06-11,bbc303,police arrested for dragging a woman 200 meters away on suspicion of theft,polisi wakamatwa kwa kumburuza mwanamke umbali wa mita 200 kwa tuhuma za wizi,Local News
2021-12-24,bbc599,corina virus : uae suspends flights from kenya tanzania ethiopia and nigeria,coronavirus : uae yasitisha safari za ndege kutoka kenya tanzania ethiopia na nigeria,International news
2019-08-22,bbc9,lessons under the trees a challenge for ugandans,masomo chini ya miti ni changamoto kwa waganda,Local News
2020-11-24,bbc419,chadema mps for special seats take oath,wabunge wa viti maalum chadema wakila kiapo,Local News
2020-10-09,bbc389,liban abdullahi omar : westgate attack suspect 'will be chased by armed men ' after release in kenya,liban abdullahi omar : mshukiwa wa shambulio la westgate 'atafukuzwa na watu wenye silaha ' baada ya kuachiliwa nchini kenya,Local News
2020-03-20,bbc195,coronavirus : new restrictions in entertainment and travel areas in kenya,coronavirus : vizuizi vipya katika maeneo ya burudani na kusafiri nchini kenya,Local News
2020-05-14,bbc265,corona virus : the ban on quince leaves somali ruminants in trouble,virusi vya corona : marufuku ya mirungi yawaacha wawindaji wa somalia matatani,Local News
2022-06-09,bbc502,kenyan election 2022 : get to know the 4 presidential candidates in kenya,uchaguzi wa kenya 2022 : wafahamu wagombea 4 wa urais nchini kenya,Local News
2020-12-19,bbc438,corona virus : how the corona epidemic affected the entertainment industry,coronavirus : jinsi janga la corona lilivyoathiri tasnia ya burudani,Entertainment news
2020-07-06,bbc317,corona virus : will president kenyatta open the economy or focus on the health of kenyans ?,virusi vya corona : je rais kenyatta atafungua uchumi au kuzingatia afya ya wakenya ?,Local News
2022-06-08,bbc499,elections kenya 2022 : challenges facing political coalitions,uchaguzi kenya 2022 : changamoto zinazokumba miungano ya kisiasa,Local News
2021-08-23,bbc570,kenya emerges as the winner of the world athletics championship for athletes under 20 years of age .,kenya yaibuka mshindi wa mashindano ya riadha ya dunia kwa wanariadha walio chini ya umri wa miaka 20 .,Sports news
2020-07-24,bbc334,kenya announces three days of mourning for retired president benjamin william mkapa,kenya yatangaza siku tatu za maombolezo ya rais mstaafu benjamin william mkapa,Local News
2019-09-02,bbc23,hells gate : 'hell gate ' is closed after tourists die .,hells gate : 'hell gate ' imefungwa baada ya watalii kufa .,Local News
2019-12-10,bbc112,get to know five african music stars to watch in the future,wafahamu mastaa watano wa muziki wa kiafrika ili kutazama siku zijazo,Entertainment news
2019-12-26,bbc122,rosemary odinga regains her eyesight after two years,rosemary odinga apata kuona tena baada ya miaka miwili,Local News
2020-03-04,bbc175,is diamond platinumz and tanasha dona 's love story in the sand or are they commercial kicks ?,hadithi ya diamond platinumz na tanasha dona iko mchangani au ni mateke ya kibiashara ?,Entertainment news
